Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
QS1P2,Pad,P1,GFZ,Channel:,j45,Actual,Channel:,22,Trace,Length:,507.907,Time,estimate:,2.620930352
QS1P2,Pad,P1,GFZ,Channel:,j46,Actual,Channel:,23,Trace,Length:,438.167,Time,estimate:,2.26105407
QS1P2,Pad,P1,GFZ,Channel:,j47,Actual,Channel:,24,Trace,Length:,296.672,Time,estimate:,1.53090359
QS1P2,Pad,P1,GFZ,Channel:,j48,Actual,Channel:,25,Trace,Length:,676.932,Time,estimate:,3.493142692
QS1P2,Pad,P1,GFZ,Channel:,j49,Actual,Channel:,26,Trace,Length:,535.957,Time,estimate:,2.765675545
QS1P2,Pad,P1,GFZ,Channel:,j50,Actual,Channel:,27,Trace,Length:,466.222,Time,estimate:,2.405825064
QS1P2,Pad,P1,GFZ,Channel:,j51,Actual,Channel:,28,Trace,Length:,331.367,Time,estimate:,1.709938686
QS1P2,Pad,P1,GFZ,Channel:,j52,Actual,Channel:,29,Trace,Length:,697.862,Time,estimate:,3.601146859
QS1P2,Pad,P1,GFZ,Channel:,j53,Actual,Channel:,30,Trace,Length:,564.007,Time,estimate:,2.910420737
QS1P2,Pad,P1,GFZ,Channel:,j54,Actual,Channel:,31,Trace,Length:,494.272,Time,estimate:,2.550570256
QS1P2,Pad,P1,GFZ,Channel:,j55,Actual,Channel:,32,Trace,Length:,366.067,Time,estimate:,1.888999583
QS1P2,Pad,P1,GFZ,Channel:,j56,Actual,Channel:,33,Trace,Length:,718.787,Time,estimate:,3.709125224
QS1P2,Pad,P1,GFZ,Channel:,j57,Actual,Channel:,34,Trace,Length:,592.062,Time,estimate:,3.05519173
QS1P2,Pad,P1,GFZ,Channel:,j58,Actual,Channel:,35,Trace,Length:,522.322,Time,estimate:,2.695315448
QS1P2,Pad,P1,GFZ,Channel:,j59,Actual,Channel:,36,Trace,Length:,400.762,Time,estimate:,2.068034679
QS1P2,Pad,P1,GFZ,Channel:,j60,Actual,Channel:,37,Trace,Length:,739.717,Time,estimate:,3.817129391
QS1P2,Pad,P1,GFZ,Channel:,j61,Actual,Channel:,38,Trace,Length:,620.112,Time,estimate:,3.199936923
QS1P2,Pad,P1,GFZ,Channel:,j62,Actual,Channel:,39,Trace,Length:,550.377,Time,estimate:,2.840086442
QS1P2,Pad,P1,GFZ,Channel:,j63,Actual,Channel:,40,Trace,Length:,435.462,Time,estimate:,2.247095577
QS1P2,Pad,P1,GFZ,Channel:,j64,Actual,Channel:,41,Trace,Length:,760.642,Time,estimate:,3.925107756
QS1P2,Pad,P1,GFZ,Channel:,j65,Actual,Channel:,42,Trace,Length:,648.162,Time,estimate:,3.344682115
QS1P2,Pad,P1,GFZ,Channel:,j66,Actual,Channel:,43,Trace,Length:,578.427,Time,estimate:,2.984831634
QS1P2,Pad,P1,GFZ,Channel:,j67,Actual,Channel:,44,Trace,Length:,470.162,Time,estimate:,2.426156474
QS1P2,Pad,P1,GFZ,Channel:,j68,Actual,Channel:,45,Trace,Length:,781.572,Time,estimate:,4.033111923
QS1P2,Pad,P1,GFZ,Channel:,j69,Actual,Channel:,46,Trace,Length:,676.217,Time,estimate:,3.489453109
QS1P2,Pad,P1,GFZ,Channel:,j70,Actual,Channel:,47,Trace,Length:,606.477,Time,estimate:,3.129576827
QS1P2,Pad,P1,GFZ,Channel:,j71,Actual,Channel:,48,Trace,Length:,504.857,Time,estimate:,2.60519157
QS1P2,Pad,P1,GFZ,Channel:,j72,Actual,Channel:,49,Trace,Length:,802.497,Time,estimate:,4.141090288
QS1P2,Pad,P1,GFZ,Channel:,j73,Actual,Channel:,50,Trace,Length:,704.267,Time,estimate:,3.634198301
QS1P2,Pad,P1,GFZ,Channel:,j74,Actual,Channel:,51,Trace,Length:,634.527,Time,estimate:,3.274322019
QS1P2,Pad,P1,GFZ,Channel:,j75,Actual,Channel:,52,Trace,Length:,539.557,Time,estimate:,2.784252468
QS1P2,Pad,P1,GFZ,Channel:,j76,Actual,Channel:,53,Trace,Length:,823.427,Time,estimate:,4.249094455
QS1P2,Pad,P1,GFZ,Channel:,j77,Actual,Channel:,54,Trace,Length:,732.317,Time,estimate:,3.778943493
QS1P2,Pad,P1,GFZ,Channel:,j78,Actual,Channel:,55,Trace,Length:,662.582,Time,estimate:,3.419093012
QS1P2,Pad,P1,GFZ,Channel:,j79,Actual,Channel:,56,Trace,Length:,574.257,Time,estimate:,2.963313365
QS1P2,Pad,P1,GFZ,Channel:,j80,Actual,Channel:,57,Trace,Length:,844.352,Time,estimate:,4.35707282
QS1P2,Pad,P1,GFZ,Channel:,j81,Actual,Channel:,58,Trace,Length:,760.367,Time,estimate:,3.923688685
QS1P2,Pad,P1,GFZ,Channel:,j82,Actual,Channel:,59,Trace,Length:,690.632,Time,estimate:,3.563838205
QS1P2,Pad,P1,GFZ,Channel:,j83,Actual,Channel:,60,Trace,Length:,608.952,Time,estimate:,3.142348461
QS1P2,Pad,P1,GFZ,Channel:,j84,Actual,Channel:,61,Trace,Length:,865.282,Time,estimate:,4.465076987
QS1P2,Pad,P1,GFZ,Channel:,j85,Actual,Channel:,62,Trace,Length:,788.422,Time,estimate:,4.068459679
QS1P2,Pad,P1,GFZ,Channel:,j86,Actual,Channel:,63,Trace,Length:,718.682,Time,estimate:,3.708583397
QS1P2,Pad,P1,GFZ,Channel:,j87,Actual,Channel:,64,Trace,Length:,643.652,Time,estimate:,3.321409359
QS1P2,Pad,P1,GFZ,Channel:,j88,Actual,Channel:,65,Trace,Length:,886.207,Time,estimate:,4.573055352
QS1P2,Pad,P1,GFZ,Channel:,j89,Actual,Channel:,66,Trace,Length:,816.472,Time,estimate:,4.213204871
QS1P2,Pad,P1,GFZ,Channel:,j90,Actual,Channel:,67,Trace,Length:,746.737,Time,estimate:,3.853354391
QS1P2,Pad,P1,GFZ,Channel:,j91,Actual,Channel:,68,Trace,Length:,678.352,Time,estimate:,3.500470256
QS1P3,Pad,P1,GFZ,Channel:,j24,Actual,Channel:,1,Trace,Length:,495.265,Time,estimate:,2.555694391
QS1P3,Pad,P1,GFZ,Channel:,j25,Actual,Channel:,2,Trace,Length:,377.17,Time,estimate:,1.94629391
QS1P3,Pad,P1,GFZ,Channel:,j26,Actual,Channel:,3,Trace,Length:,248.775,Time,estimate:,1.283742788
QS1P3,Pad,P1,GFZ,Channel:,j27,Actual,Channel:,4,Trace,Length:,509.115,Time,estimate:,2.627163942
QS1P3,Pad,P1,GFZ,Channel:,j28,Actual,Channel:,5,Trace,Length:,384.475,Time,estimate:,1.983989583
QS1P3,Pad,P1,GFZ,Channel:,j29,Actual,Channel:,6,Trace,Length:,264.6,Time,estimate:,1.365403846
QS1P3,Pad,P1,GFZ,Channel:,j30,Actual,Channel:,7,Trace,Length:,537.33,Time,estimate:,2.772760577
QS1P3,Pad,P1,GFZ,Channel:,j31,Actual,Channel:,8,Trace,Length:,417.985,Time,estimate:,2.156909775
QS1P3,Pad,P1,GFZ,Channel:,j32,Actual,Channel:,9,Trace,Length:,300.285,Time,estimate:,1.549547596
QS1P3,Pad,P1,GFZ,Channel:,j33,Actual,Channel:,10,Trace,Length:,574.05,Time,estimate:,2.962245192
QS1P3,Pad,P1,GFZ,Channel:,j34,Actual,Channel:,11,Trace,Length:,455.27,Time,estimate:,2.349309936
QS1P3,Pad,P1,GFZ,Channel:,j35,Actual,Channel:,12,Trace,Length:,337.905,Time,estimate:,1.743676442
QS1P3,Pad,P1,GFZ,Channel:,j36,Actual,Channel:,13,Trace,Length:,611.885,Time,estimate:,3.157483493
QS1P3,Pad,P1,GFZ,Channel:,j37,Actual,Channel:,14,Trace,Length:,493.255,Time,estimate:,2.545322275
QS1P3,Pad,P1,GFZ,Channel:,j38,Actual,Channel:,15,Trace,Length:,376,Time,estimate:,1.94025641
QS1P3,Pad,P1,GFZ,Channel:,j39,Actual,Channel:,16,Trace,Length:,650.055,Time,estimate:,3.35445048
QS1P3,Pad,P1,GFZ,Channel:,j40,Actual,Channel:,17,Trace,Length:,531.485,Time,estimate:,2.742598878
QS1P3,Pad,P1,GFZ,Channel:,j41,Actual,Channel:,18,Trace,Length:,414.275,Time,estimate:,2.137765224
QS1P3,Pad,P1,GFZ,Channel:,j42,Actual,Channel:,19,Trace,Length:,688.37,Time,estimate:,3.552165705
QS1P3,Pad,P1,GFZ,Channel:,j43,Actual,Channel:,20,Trace,Length:,569.825,Time,estimate:,2.940443109
QS1P3,Pad,P1,GFZ,Channel:,j44,Actual,Channel:,21,Trace,Length:,452.64,Time,estimate:,2.335738461
QS1P3,Pad,P1,GFZ,Channel:,j45,Actual,Channel:,22,Trace,Length:,726.755,Time,estimate:,3.750242147
QS1P3,Pad,P1,GFZ,Channel:,j46,Actual,Channel:,23,Trace,Length:,608.23,Time,estimate:,3.138622756
QS1P3,Pad,P1,GFZ,Channel:,j47,Actual,Channel:,24,Trace,Length:,491.055,Time,estimate:,2.533969711
QS1P3,Pad,P1,GFZ,Channel:,j48,Actual,Channel:,25,Trace,Length:,765.185,Time,estimate:,3.948550801
QS1P3,Pad,P1,GFZ,Channel:,j49,Actual,Channel:,26,Trace,Length:,646.67,Time,estimate:,3.336983012
QS1P3,Pad,P1,GFZ,Channel:,j50,Actual,Channel:,27,Trace,Length:,529.505,Time,estimate:,2.73238157
QS1P3,Pad,P1,GFZ,Channel:,j51,Actual,Channel:,28,Trace,Length:,803.64,Time,estimate:,4.146988461
QS1P3,Pad,P1,GFZ,Channel:,j52,Actual,Channel:,29,Trace,Length:,685.13,Time,estimate:,3.535446474
QS1P3,Pad,P1,GFZ,Channel:,j53,Actual,Channel:,30,Trace,Length:,567.975,Time,estimate:,2.930896634
QS1P3,Pad,P1,GFZ,Channel:,j54,Actual,Channel:,31,Trace,Length:,842.115,Time,estimate:,4.345529326
QS1P3,Pad,P1,GFZ,Channel:,j55,Actual,Channel:,32,Trace,Length:,723.61,Time,estimate:,3.734013141
QS1P3,Pad,P1,GFZ,Channel:,j56,Actual,Channel:,33,Trace,Length:,606.46,Time,estimate:,3.129489102
QS1P3,Pad,P1,GFZ,Channel:,j57,Actual,Channel:,34,Trace,Length:,880.605,Time,estimate:,4.544147596
QS1P3,Pad,P1,GFZ,Channel:,j58,Actual,Channel:,35,Trace,Length:,762.1,Time,estimate:,3.93263141
QS1P3,Pad,P1,GFZ,Channel:,j59,Actual,Channel:,36,Trace,Length:,644.955,Time,estimate:,3.328133173
QS1P3,Pad,P1,GFZ,Channel:,j60,Actual,Channel:,37,Trace,Length:,919.1,Time,estimate:,4.742791666
QS1P3,Pad,P1,GFZ,Channel:,j61,Actual,Channel:,38,Trace,Length:,800.6,Time,estimate:,4.131301282
QS1P3,Pad,P1,GFZ,Channel:,j62,Actual,Channel:,39,Trace,Length:,683.455,Time,estimate:,3.526803044
QS1P3,Pad,P1,GFZ,Channel:,j63,Actual,Channel:,40,Trace,Length:,957.605,Time,estimate:,4.941487339
QS1P3,Pad,P1,GFZ,Channel:,j64,Actual,Channel:,41,Trace,Length:,839.11,Time,estimate:,4.330022756
QS1P3,Pad,P1,GFZ,Channel:,j65,Actual,Channel:,42,Trace,Length:,721.965,Time,estimate:,3.725524519
QS1P3,Pad,P1,GFZ,Channel:,j66,Actual,Channel:,43,Trace,Length:,996.115,Time,estimate:,5.140208813
QS1P3,Pad,P1,GFZ,Channel:,j67,Actual,Channel:,44,Trace,Length:,877.62,Time,estimate:,4.52874423
QS1P3,Pad,P1,GFZ,Channel:,j68,Actual,Channel:,45,Trace,Length:,760.475,Time,estimate:,3.924245993
QS1P3,Pad,P1,GFZ,Channel:,j69,Actual,Channel:,46,Trace,Length:,1034.63,Time,estimate:,5.338956089
